"geneNames.as.numeric.rownames.res1..1.l1...","res1.adj.P.Val.1.l1."
"KIF2A",1.1816549092562e-39
"SMARCC2",1.18166551528961e-39
"MTFMT",1.18327455726445e-39
"GRWD1",1.18929381600076e-39
"EID1",1.19292036216684e-39
"PIGP",1.19542321929425e-39
"Celera Transcript hCT2297160",1.20127436026253e-39
"TEX2",1.20127436026253e-39
"AMFR",1.20263882705669e-39
"MEPCE",1.20498941198534e-39
"SEC23B",1.21976372297515e-39
"Celera Transcript hCT2257608",1.22022730170073e-39
"ATG13",1.23060798443892e-39
"SETD3",1.23586518607121e-39
"Celera Transcript hCT1643477.3,Celera Transcript hCT2279799.1",1.23951134378946e-39
"MRPL1",1.23951134378946e-39
"CD99",1.2398471979651e-39
"SLC12A7",1.2402583293901e-39
"SNRPB2",1.24084888951756e-39
"MAPKAPK5",1.24084888951756e-39
"PLEKHF1",1.24560893161717e-39
"ZNF16",1.24652700372063e-39
"Celera Transcript hCT32004.3",1.24776160383472e-39
"Celera hCG2042610.1",1.2540158101844e-39
"CYSTM1",1.25614561698519e-39
"RAB14",1.25668020131162e-39
"Celera Transcript hCT1819371.1",1.25983260325817e-39
"Celera Transcript hCT14349.2",1.26095351842135e-39
"STK25",1.27979143813507e-39
"FARS2",1.28851314567396e-39
"Celera Transcript hCT2310834,Celera Transcript hCT2310835,Celera Transcript hCT2310837,Celera Transcript hCT2258000.1",1.28916224492138e-39
"PI4K2B",1.28953274668121e-39
"Celera Transcript hCT1814592.1",1.29613188189506e-39
"TBC1D13",1.30219703711002e-39
"TMEM53",1.30358190449777e-39
"SACM1L",1.30375347607474e-39
"KRTAP19-5",1.31265677169568e-39
"--obsolete",1.31871459017142e-39
"FKBP2",1.32208872359594e-39
"ALG3",1.32301587772429e-39
"LSM12",1.32749040061434e-39
"TRPT1",1.33768927701072e-39
"PEA15",1.33939277416356e-39
"MED19",1.33973218405061e-39
"RAB5A",1.35217745988152e-39
"Celera Transcript hCT2287902,Celera Transcript hCT32259.3",1.35220233408634e-39
"Celera Transcript hCT1829702.1",1.36492941940421e-39
"Celera Transcript hCT22585.3",1.36876246795275e-39
"Celera Transcript hCT1832623.2,Celera Transcript hCT1963846.1",1.3760844022106e-39
"Celera Transcript hCT21082.2",2.5283020669189e-40
"Celera Transcript hCT1644872.3",1.39148774825751e-39
"PARP12",1.39362343302789e-39
"NDUFC1",1.39904529595464e-39
"TBC1D2B",1.4005731684886e-39
"RNPEPL1",1.4005731684886e-39
"RBBP5",1.40843689545855e-39
"CNNM3",1.41110985295791e-39
"--obsolete",1.43504196321698e-39
"HNRNPH2",1.43570007225942e-39
"ANXA11",1.43630842068464e-39
"FBXO22",1.44429523564347e-39
"ACO2",1.44685748510402e-39
"Celera Transcript hCT1781932.2",1.45213063282739e-39
"236849",1.45496076932712e-39
"PIGO",1.45652601406943e-39
"NAGA",1.45991788615677e-39
"Celera Transcript hCT13582.3",1.46882413317969e-39
"Celera Transcript hCT2290993,Celera Transcript hCT2290996",1.46966391487402e-39
"Celera Transcript hCT1774135.4",1.47331441238739e-39
"CAND1",1.4806833249202e-39
"Celera Transcript hCT1970687.2",2.16865736672016e-40
"ZMAT2",1.48540482665252e-39
"DCAF10",1.48959586088629e-39
"DGUOK",1.50085253258113e-39
"NUDT22",1.50349814030146e-39
"LHFPL4",1.50489526383794e-39
"CHERP",1.50489526383794e-39
"ZNF408",1.51031228369749e-39
"205600",1.51092469116209e-39
"PPM1F",1.52937737607298e-39
"COPS2",1.54049049107544e-39
"Celera Transcript hCT1959419.1",1.54144749201763e-39
"ARHGAP21",1.54923893836916e-39
"TUSC2",1.55208287558368e-39
"GNL2",1.55316668846168e-39
"Celera Transcript hCT2346792",1.55381509772168e-39
"HDHD2",1.55528668823955e-39
"Celera Transcript hCT2251950",1.58250286137736e-39
"DNM2",1.58442976491783e-39
"SPATC1L",1.59368475996717e-39
"MAPK1IP1L",1.59930220402978e-39
"REPIN1",1.60227136141103e-39
"MAL2",1.60360066752737e-39
"SNUPN",1.60558893606365e-39
"DFFA",1.6135387302363e-39
"Celera Transcript hCT1817775.3",1.61931096368625e-39
"MRTO4",1.61989687370442e-39
"Celera Transcript hCT2343605,Celera Transcript hCT2359286,Celera Transcript hCT2347277",1.61989687370442e-39
"GFM1",1.62003676854615e-39
"C7orf50",1.62098147875963e-39
"Celera Transcript hCT2346434",1.62261686689508e-39
"Celera Transcript hCT1644801.2",1.62829937320485e-39
"Celera Transcript hCT2289959",1.62908572274615e-39
"SHB",1.6300824917494e-39
"SLC10A3",1.63260254151062e-39
"PARP2",1.63267067527013e-39
"Celera Transcript hCT8490.1",2.41045931320218e-40
"STAU1",1.63458071735635e-39
"CLCC1",1.64907490880627e-39
"Celera Transcript hCT1953334.1,Celera Transcript hCT21679.2",1.64907490880627e-39
"BLOC1S4",1.64924448033156e-39
"Celera Transcript hCT1829948",1.6556454008465e-39
"TP53I13",1.65682112533893e-39
"RPUSD2",1.6584610222478e-39
"ATP1B3",1.67352946339059e-39
"154404",1.68072336522245e-39
"Celera Transcript hCT2347437.1",1.68949580752368e-39
"LMAN2L",3.15489891511536e-40
"LYPLA1",1.69875963937961e-39
"Celera Transcript hCT1970673.1",1.71107926742001e-39
"SEC31A",1.71600187016694e-39
"CD58",1.71600187016694e-39
"GAK",1.7168907197e-39
"RALY",1.73950214937255e-39
"PIK3C2B",1.74025891141384e-39
"TWF2",1.76055044988272e-39
"ANAPC4",1.76979650301979e-39
"FLOT1",1.76979650301979e-39
"PSMG3",1.76979650301979e-39
"KRT84",1.77697216967584e-39
"Celera Transcript hCT1957377.2,Celera Transcript hCT2348339,Celera Transcript hCT2348338",1.77878286110029e-39
"188689",1.7888666399047e-39
"BTBD10",1.80792793808281e-39
"DNAJC21",1.80903975175567e-39
"Celera Transcript hCT1831336.2",1.80903975175567e-39
"NSMCE2",1.81989252755077e-39
"SDHAP1",1.82020513878297e-39
"137092",1.8229896881527e-39
"Celera Transcript hCT2340683.1,Celera Transcript hCT1653520.3",1.82804193565373e-39
"Celera Transcript hCT1643785",1.86547704883517e-39
"RCC1",1.86703433436454e-39
"UBE2L3",1.87505209630264e-39
"FBXO33",1.87688070257659e-39
"SMNDC1",1.87726771879344e-39
"ZNF212",1.87803258955311e-39
"Celera Transcript hCT2345515.1",1.88162668557169e-39
"BOD1",1.88547948427756e-39
"PODXL",1.88656590275558e-39
"GNPDA1",1.89266517403615e-39
"ZNHIT6",1.90243186063247e-39
"Celera Transcript hCT2342498",1.90424020298367e-39
"Celera Transcript hCT17738.2",1.91018490521736e-39
"ICA1",1.91196094448512e-39
"DR1",1.93330192492576e-39
"C1orf50",1.93330192492576e-39
"R3HDM1",1.93336792871529e-39
"MRPS12",1.9356453947687e-39
"GTF2E2",1.94639532539533e-39
"CEACAM3",1.95023590914902e-39
"NEUROG2",1.95194501380202e-39
"Celera Transcript hCT1643960.2,Celera Transcript hCT2336131",1.96061092308381e-39
"Celera Transcript hCT2351158",1.96061092308381e-39
"Celera Transcript hCT14642.3",1.9654953347006e-39
"MCTS1",1.97679397482995e-39
"GART",1.97779619115921e-39
"Celera Transcript hCT1643714.2",1.99270484447518e-39
"TCF25",1.99455187747269e-39
"PHB2",1.99485648866653e-39
"DDX28",1.99526114665503e-39
"Celera Transcript hCT1825859.2",1.99526114665503e-39
"PREPL",2.01542601082448e-39
"NEUROG1",2.01788800563253e-39
"CHD3",2.02705537473609e-39
"RMDN1",2.03524805358445e-39
"TMEM94",2.05552621702924e-39
"PRPF4",2.07460345165256e-39
"THAP12",2.07558199405756e-39
"KDM5C",2.07900704438383e-39
"Celera Transcript hCT2346027.1",2.0859735175719e-39
"RPF2",2.09480364192852e-39
"Celera Transcript hCT1640823.1",2.09723835429691e-39
"VPS13C",2.09789984013781e-39
"BSCL2",2.10059489218097e-39
"GCC2",2.10256958326956e-39
"ECHDC1",2.10955848378187e-39
"USO1",2.10955848378187e-39
"PCNA",2.12390709300509e-39
"SLC30A5",2.12390709300509e-39
"TTC9C",2.12390709300509e-39
"NDUFV2",2.13076409674335e-39
"Celera Transcript hCT2270170,Celera Transcript hCT2270171",2.14535347997673e-39
"CSTF1",2.15413727443905e-39
"CSNK2A2",2.16278059791677e-39
"Celera Transcript hCT2325868",2.17989148006284e-39
"ZNRF2",2.18262406889251e-39
"ATPAF1",2.21994805339432e-39
"GARS",2.23014309195739e-39
"FKBP9",2.23832335532199e-39
"POGLUT1",2.24828574935655e-39
"METTL3",2.24896761199332e-39
"PMF1",2.28149379574637e-39
"RANGRF",2.29050575642995e-39
"ACLY",2.30217866554922e-39
"DCTN4",2.31081919409612e-39
"--obsolete",2.31081919409612e-39
"MPHOSPH10",2.31188406836822e-39
"GP9",2.31188406836822e-39
"UCN2",2.31693064390546e-39
"EIF4G2",2.31929971233113e-39
"Celera Transcript hCT1816186.1",2.32852331010175e-39
"CNPPD1",2.34197075117272e-39
"TMEM183A",2.34371352341369e-39
"Celera Transcript hCT2269651.1,Celera Transcript hCT2340369",2.34754555224114e-39
"CLTB",2.34838947973799e-39
"--obsolete",2.35777175029528e-39
"ASPSCR1",2.35931708855994e-39
"GGN",2.39813935699502e-39
"HES5",2.41809911916818e-39
"ANKHD1",2.42791895020637e-39
"BRIX1",2.44136176189416e-39
"Celera Transcript hCT2347078",2.44190899603241e-39
"Celera Transcript hCT2275836",2.44658109592735e-39
"Celera Transcript hCT2343754,Celera Transcript hCT1644098.2",2.45326044065661e-39
"Celera Transcript hCT1835247",2.45866009089427e-39
"GMNN",2.46247118024359e-39
"DLK2",2.46394072469158e-39
"SIGMAR1",2.46613653628421e-39
"RPUSD1",2.48192526077536e-39
"DTNBP1",2.5039196978649e-39
"Celera Transcript hCT2356149,Celera Transcript hCT13213.3",2.51866214641326e-39
"RNF135",2.53145802933408e-39
"Celera Transcript hCT1768954.2",2.54192291263638e-39
"NDFIP2",2.54758238142e-39
"RDH11",2.55914164999663e-39
"Celera Transcript hCT2345508",2.56563480630305e-39
"MRPL48",2.56807306731813e-39
"CTRC",2.5699426921997e-39
"RIN1",2.58509551490949e-39
"Celera Transcript hCT2305888,Celera Transcript hCT1777192.2,Celera Transcript hCT2288686",2.61076336050897e-39
"EPS15",2.61602240906682e-39
"AGPAT1",2.62071967544234e-39
"Celera Transcript hCT1640004.3",2.62213500016343e-39
"NSUN5",2.62246363317259e-39
"C19orf66",2.64959786638433e-39
"FAM96A",2.65478506433013e-39
"GRK6",2.67029249651008e-39
"SRPRA",2.70101666256554e-39
"Celera Transcript hCT2348239.1",2.72090500922383e-39
"C11orf24",2.75090859050014e-39
"NRARP",2.75239455061948e-39
"COPRS",2.75481509276941e-39
"AP1B1",2.75581811523568e-39
"Celera Transcript hCT2252338.1",2.78129006708861e-39
"APPL1",2.79137810757919e-39
"Celera Transcript hCT2260414",2.79376926210735e-39
"Celera Transcript hCT2344691,Celera Transcript hCT2254109.1,Celera Transcript hCT28082.4",2.80116006099349e-39
"Celera Transcript hCT2293140.1",2.80823855461143e-39
"TCTN3",2.80986286901981e-39
"FUT11",2.81339384388184e-39
"BUB3",2.82283728599897e-39
"Celera Transcript hCT401083.3",2.84745928062078e-39
"CD46",2.85367706117935e-39
"USP38",2.85875742873661e-39
"TBCA",2.86224371391786e-39
"Celera Transcript hCT8650.2",2.86235461375777e-39
"ZC3H7A",2.88073952931138e-39
"Celera Transcript hCT2350314",2.88163478817482e-39
"TMCO4",2.9018715473361e-39
"PPT2",2.90439160750667e-39
"DCTD",2.92478212566136e-39
"SUSD6",2.93134852043335e-39
"SC5D",2.9417107871848e-39
"FNIP1",2.94998727667004e-39
"EBAG9",2.95637612396101e-39
"HEXIM2",2.95730960373929e-39
"RBMX2",2.97596461892351e-39
"ZFAT",2.99714031728491e-39
"CREB1",5.96956823217184e-40
"RNF115",3.01385522242721e-39
"MRPL45",3.04370337709498e-39
"Celera Transcript hCT1646998.3",3.06240812115604e-39
"RPAP2",3.06240812115604e-39
"--obsolete",3.07798689843747e-39
"TSSC1",3.08349782464565e-39
"Celera Transcript hCT1971325.2",3.08574390108995e-39
"Celera Transcript hCT8897.2",3.09961331278404e-39
"OSBPL11",3.10722143172701e-39
"NSUN4",3.14504453356038e-39
"UBAP2",3.14512207389671e-39
"RBM7",3.14657827378403e-39
"CRELD2",3.14704214340415e-39
"PRELID3B",3.18022290748424e-39
"Celera Transcript hCT2323390,Celera Transcript hCT30948.3",3.19431585593961e-39
"Celera Transcript hCT2340455,Celera Transcript hCT2340456",3.1962875579497e-39
"Celera Transcript hCT1950699.1",3.20275628960297e-39
"Celera hCG401225.3",3.20388623101759e-39
"TRADD",3.21413434100459e-39
"RNF4",5.09499570962753e-40
"SMARCE1",3.23584975830535e-39
"Celera Transcript hCT2281395.1,Celera Transcript hCT2292843.1,Celera Transcript hCT2292848.1,Celera Transcript hCT2292845.1,Celera Transcript hCT2292846.1",3.23584975830535e-39
"Celera Transcript hCT1814096.1",3.2399006908132e-39
"Celera Transcript hCT2348970",3.25390931802734e-39
"MAX",3.25422229134636e-39
"Celera Transcript hCT2266421",3.25424373834299e-39
"PRDX6",3.25922036123188e-39
"RAB6A",3.281794784079e-39
"MRPL42",3.28220832612319e-39
"EIF2AK2",3.31058023626602e-39
"Celera Transcript hCT2255330.1",3.32819730317622e-39
"Celera Transcript hCT2287969,Celera Transcript hCT1772149.1",3.34320023919529e-39
"Celera Transcript hCT2268550",3.38380849651567e-39
"PNPLA5",3.3862163488353e-39
"Celera Transcript hCT1820733.2",3.40269654804855e-39
"Celera Transcript hCT2317821",3.410306053888e-39
"Celera Transcript hCT1651838.3",3.43518555125672e-39
"TMC8",3.43925430680746e-39
"MRPS26",3.46128179026283e-39
"Celera Transcript hCT2252432,Celera Transcript hCT2252431,Celera Transcript hCT2252430",3.46155824916566e-39
"BANP",3.48574634954014e-39
"KPNB1",3.50152527394508e-39
"ATG3",3.50888706551913e-39
"ATP5C1",3.52480994043357e-39
"COQ8A",3.56352128214832e-39
"TJP2",3.60301753117389e-39
"TMED10",3.6098215882617e-39
"Celera Transcript hCT2347818",3.63061089863679e-39
"SHARPIN",3.6315691578486e-39
"JMJD4",3.64656831004964e-39
"LTV1",3.65091177116398e-39
"NISCH",3.65091177116398e-39
"RHOC",3.67304441735458e-39
"Celera Transcript hCT1817983.2",3.69767341856257e-39
"CALU",3.72027176307626e-39
"RAB3IP",3.77661139657298e-39
"MSRB2",3.7887829192655e-39
"GGA2",3.79851292296533e-39
"AKAP1",3.80153612921731e-39
"LMBRD1",3.80451259441399e-39
"Celera Transcript hCT1829638.1",3.80514142871857e-39
"PSMF1",3.80584166742054e-39
"SEC22C",3.80754097461776e-39
"Celera Transcript hCT1644070.3",3.84070152775279e-39
"ORC3",3.84186196553197e-39
"ARF4",3.86420332696957e-39
"BIN3",3.86487881850528e-39
"CAPZA2",3.90194691795735e-39
"175899",6.24239422084067e-40
"Celera Transcript hCT2305887",3.9201424096177e-39
"F8A1",3.93169081218511e-39
"Celera Transcript hCT2335213,Celera Transcript hCT2335214,Celera Transcript hCT30167.3",3.93468781566423e-39
"ORAI3",3.9518837472604e-39
"MCOLN1",3.98062649625515e-39
"AARS",3.98843158432013e-39
"Celera Transcript hCT2347004",4.00966732904601e-39
"TBRG1",4.0099853480568e-39
"TRAF6",4.01706353181557e-39
"FEN1",4.01706353181557e-39
"YPEL5",4.02246553529201e-39
"ICE2",4.02498194227316e-39
"TOMM70",4.03109443179515e-39
"OSGIN2",4.03132888355906e-39
"Celera Transcript hCT2314894.1",4.04149239883259e-39
"PPP2R5E",4.05755382197256e-39
"AP4M1",4.05755382197256e-39
"POMGNT1",4.06615146057333e-39
"ASAP2",4.08958154318359e-39
"104293",4.12492305210726e-39
"PORCN",4.12693646704398e-39
"ITGB4",6.68073618836599e-40
"Celera Transcript hCT1951619.2",4.17099700938072e-39
"Celera Transcript hCT1639968.3",4.1929572541251e-39
"YIF1A",4.19690349849801e-39
"TMEM18",4.20928563998358e-39
"PRPF8",4.21340854618774e-39
"218648",4.22411328228035e-39
"TUBG1",4.22459283787034e-39
"YIPF5",4.23424223921507e-39
"USP30",4.24905587715761e-39
"MITD1",4.28572682058979e-39
"Celera Transcript hCT1971806.1",4.30225204399507e-39
"TIMM50",4.31025886212815e-39
"Celera Transcript hCT2328637",4.31070052244244e-39
"AIG1",4.34591093804177e-39
"NFIL3",4.3474307959353e-39
"IL17RA",4.3492134249983e-39
"Celera Transcript hCT2354927,Celera Transcript hCT2289230.1,Celera Transcript hCT2289228",4.3817094110602e-39
"PNPLA6",4.38479640340626e-39
"PABPN1",4.38622946271758e-39
"GANAB",4.38960522921886e-39
"BANF1",4.4008109044533e-39
"NFKBIA",4.40819604871111e-39
"TMED5",4.40961150716507e-39
"Celera Transcript hCT18920.2",4.40961150716507e-39
"Celera Transcript hCT2343551",4.4294349911279e-39
"SPRY4",4.44167709970215e-39
"SNRPE",4.44375293434321e-39
"ITGA6",4.46017356465147e-39
"Celera Transcript hCT2340592.1,Celera Transcript hCT2340596.1",4.46084136764317e-39
"RABAC1",4.49504184695624e-39
"Celera Transcript hCT2342920",4.50282342569098e-39
"Celera Transcript hCT1971290.2",4.54913608698755e-39
"Celera hCG32569.2",4.55246318004933e-39
"Celera Transcript hCT2298944.1,Celera Transcript hCT2298945.1",4.55644215694256e-39
"RAB5C",4.56398243155871e-39
"Celera Transcript hCT19891.2,Celera Transcript hCT2317522,Celera Transcript hCT2317523,Celera Transcript hCT2357051,Celera Transcript hCT2317525",4.59609106196943e-39
"DDX10",4.60343237851393e-39
"DHX30",4.61369708368632e-39
"TCTA",7.51027446576249e-40
"Celera Transcript hCT1779412.1",4.68895149583088e-39
"Celera Transcript hCT2263741",4.69518323031588e-39
"GLUD2",4.6967954104331e-39
"DDX39A",4.7000382932168e-39
"NARFL",4.70807131743695e-39
"Celera Transcript hCT2333271,Celera Transcript hCT2359233,Celera Transcript hCT2333270,Celera Transcript hCT2333273,Celera Transcript hCT23911.3",4.70996642855485e-39
"CTTN",4.7102335363237e-39
"Celera Transcript hCT2350003,Celera Transcript hCT2350005,Celera Transcript hCT2350009,Celera Transcript hCT2350012,Celera Transcript hCT2350014,Celera Transcript hCT2350001",4.71583225924955e-39
"Celera Transcript hCT16204.3",4.73468449660123e-39
"EIF4A2",4.75179122786073e-39
"Celera Transcript hCT11966.2,Celera Transcript hCT2356862,Celera Transcript hCT2356863,Celera Transcript hCT1950977.1",4.75428334877897e-39
"PDXDC1",4.76619693699479e-39
"WDR74",4.77115957291069e-39
"PNPLA8",4.80148863244098e-39
"RBM26",4.82338537177673e-39
"EMC6",4.82564113499736e-39
"ZNF174",4.82615007502891e-39
"HSPD1",4.83942828447316e-39
"ZNF770",4.85283712747857e-39
"GDF6",4.87274231938653e-39
"ACAA1",4.91752086817338e-39
"--obsolete",4.96315092038604e-39
"ZMIZ1",4.99087779878514e-39
"RALBP1",4.9915280137158e-39
"LZTS1",5.02669262309874e-39
"Celera Transcript hCT2341126",5.03066239401679e-39
"Celera Transcript hCT2346221",5.08482854008969e-39
"TFB1M",5.09978686630651e-39
"DDB1",8.42803311457564e-40
"Celera Transcript hCT1971046.1",8.44363035344939e-40
"PHPT1",5.18760739873861e-39
"TINF2",5.21367616346064e-39
"DAG1",5.23370367078598e-39
"PLEKHF2",5.23416401319888e-39
"RAD17",5.25923913978598e-39
"MBOAT7",5.30666254150047e-39
"HBS1L",5.31180212929462e-39
"BAIAP2L1",5.31435296297256e-39
"TXNDC17",5.34637014154333e-39
"Celera Transcript hCT2262767,Celera Transcript hCT2262766,Celera Transcript hCT2262763,Celera Transcript hCT2262768,Celera Transcript hCT2262765",5.36232837310248e-39
"Celera Transcript hCT1644017.3",5.37521789039968e-39
"117381",5.377795487518e-39
"TBC1D23",5.37856540891532e-39
"FDFT1",5.4046479257643e-39
"PSMA7",5.4046479257643e-39
"131030",5.46659577060192e-39
"TAX1BP1",5.47553676383874e-39
"ZNF562",5.49288814296674e-39
"STRBP",5.53259698300301e-39
"Celera Transcript hCT2313597",5.53925028676523e-39
"LRWD1",5.5555047681717e-39
"Celera Transcript hCT1953434.1,Celera Transcript hCT1953432.1,Celera Transcript hCT1953433.1",5.56923208189157e-39
"Celera Transcript hCT1814147.3",5.59475577147632e-39
"171134",5.59916945204598e-39
"SMAD1",5.61953054420419e-39
"Celera Transcript hCT2255007.1,Celera Transcript hCT2255009.1",5.63265878290784e-39
"COA5",5.6354352688426e-39
"FSTL3",5.64636056060373e-39
"Celera Transcript hCT2297022",5.65330375396582e-39
"DYNC2LI1",5.65653754859331e-39
"USP2",5.65900641673294e-39
"114374",5.65900641673294e-39
"CDK5",5.69033942061628e-39
"Celera Transcript hCT2287413,Celera Transcript hCT2287410,Celera Transcript hCT2287414,Celera Transcript hCT2287412",5.69981383437875e-39
"RNF103",5.71404773414416e-39
"C1QBP",5.71822808732998e-39
"SFXN4",5.74308092413769e-39
"AP5B1",5.74740327897252e-39
"Celera Transcript hCT2348129",5.75464805097145e-39
"RBM3",5.76807578213486e-39
"GOSR2",5.7805158676467e-39
"TNFRSF21",5.80159235321881e-39
"CLPX",5.82968121355936e-39
"TUBGCP2",5.84481946189698e-39
"HK1",5.86322855160134e-39
"POLR2G",5.89770195927765e-39
"Celera hCG2039971",5.92339997994519e-39
"Celera Transcript hCT2255950.1",5.93017990271826e-39
"Celera Transcript hCT29257.3,Celera Transcript hCT2273616",5.93250239476333e-39
"NIPSNAP3A",5.93675801412088e-39
"ASPHD2",5.94552541790722e-39
"PGD",5.97579014909504e-39
"FAM110A",5.97579014909504e-39
"TP53AIP1",5.99000988816478e-39
"Celera Transcript hCT2288845",6.00920184422082e-39
"DTYMK",6.01621470221084e-39
"SF3B3",6.02695776468812e-39
"FAM129C",6.02939693080409e-39
"SLC25A23",6.05184774935972e-39
"POM121L12",6.12463195620478e-39
"PCNX4",6.13983921664668e-39
"STK16",6.14291950984237e-39
"Celera Transcript hCT29438.3",6.20804888387789e-39
"SLX1B",6.29259187057934e-39
"C1orf131",6.31293287179386e-39
"PITPNB",6.31293287179386e-39
"NCK2",6.34768330852024e-39
"PLEKHM1",6.39791435682973e-39
"AKT1",6.44530296827973e-39
"Celera Transcript hCT1835004.1",6.45235745373779e-39
"ABHD11",6.46207078294562e-39
"LYPLA2",6.48689779316904e-39
"218598",1.34480643593724e-39
"PAXIP1",6.56197344961202e-39
"GEMIN8",6.57628339854267e-39
"SEC61A1",6.58189594469818e-39
"TOMM22",6.60681043623705e-39
"Celera Transcript hCT1644752.3",6.62019473124464e-39
"AKAP13",6.65471191374751e-39
"SMPD2",6.66554574665098e-39
"Celera Transcript hCT1775691.3",6.69983526766491e-39
"BRD2",6.74436792730386e-39
"Celera Transcript hCT32430.3",6.74436792730386e-39
"PCYT2",6.77139228685354e-39
"Celera Transcript hCT2285122",6.80107552431355e-39
"TUBA4B",6.80458334994867e-39
"OCRL",6.82232135652296e-39
"KLHL26",6.86930543468127e-39
"Celera Transcript hCT1832563.1",6.9050424608437e-39
"MFN2",6.95232168937848e-39
"--obsolete",6.97477221634608e-39
"DHFR2",6.9901291957991e-39
"VSTM2L",6.99481574931794e-39
"--obsolete",7.00108746862084e-39
"Celera Transcript hCT1971204.2",7.02791647503773e-39
"Celera Transcript hCT2346085",7.03651253443836e-39
"VAPA",7.09360614905794e-39
"KATNB1",7.10111950494841e-39
"CRTAP",7.17148656822215e-39
"227312",7.2459580256402e-39
"Celera Transcript hCT1821790.2",7.26821067891817e-39
"Celera Transcript hCT2284619.1,Celera Transcript hCT2284620",7.28968298933107e-39
"CDC42BPB",7.29810133213621e-39
"Celera Transcript hCT1644577.1",7.30495777535953e-39
"RTFDC1",7.34003285176162e-39
"SLC52A2",7.35853880889191e-39
"SMARCA4",7.360094438375e-39
"CDX1",7.3764451345142e-39
"SFT2D3",7.39004253737373e-39
"FBXL3",7.40376920212885e-39
"EFNA1",7.43838810803633e-39
"RPP30",7.4668536905191e-39
"TMEM177",7.491130972568e-39
"RPF1",7.49745943129012e-39
"Celera Transcript hCT1970896.2",7.53491800444733e-39
"MCM7",7.54554451551243e-39
"PDZD4",7.56614837480385e-39
"SIAH1",7.57196376568854e-39
"NARF",7.59000221847909e-39
"DDX19B",7.64907583677976e-39
"RNF113A",7.6782109072478e-39
"ISCA1",7.71474372194399e-39
"CCDC97",7.72472629597647e-39
"PIGQ",7.80364596447134e-39
"TTI2",7.82840873865175e-39
"CYB561A3",7.86190482605463e-39
"TBC1D10A",7.88274727837159e-39
"HSPA14",7.8881294134971e-39
"UCHL3",7.89792799414017e-39
"TMEM126B",7.90407167474733e-39
"151983",7.93890322748095e-39
"AP1M2",7.95447835084974e-39
"ABI3",8.02194579660458e-39
"Celera Transcript hCT2319213.1,Celera Transcript hCT2319215.1",8.07234328940696e-39
"Celera Transcript hCT2351195",8.07506804500965e-39
"CSNK1D",8.07834549698595e-39
"RAD1",8.0891569695978e-39
"GYS1",8.11395193850665e-39
"CD44",8.14627369266225e-39
"TRIM13",8.16677767071359e-39
"DGCR6L",8.18561100938425e-39
"Celera Transcript hCT2284170",8.21193501134462e-39
"PARVA",8.25186512842679e-39
"SLC31A1",8.25390300754435e-39
"Celera Transcript hCT1953541.2",8.2821359651883e-39
"MGST3",8.2858383256588e-39
"DNAJC17",8.30304286141721e-39
"ATG7",8.30768568154312e-39
"LGMN",8.32782897154797e-39
"RTN4",8.3956224436859e-39
"UBALD2",8.39968872283909e-39
"ACAD9",8.40814152219626e-39
"SETX",8.48088680914557e-39
"TAOK3",8.52316728383303e-39
"Celera Transcript hCT1642297.3",8.61681669233117e-39
"Celera Transcript hCT2265114",8.62522220306525e-39
"RNF111",8.66040242535092e-39
"Celera Transcript hCT23004.3,Celera Transcript hCT2349967,Celera Transcript hCT1968032.1,Celera Transcript hCT2349966",8.75546091194375e-39
"PIGH",8.76338980928571e-39
"CCDC94",8.87180499668193e-39
"IRF9",8.87197453888326e-39
"DYNLRB1",8.91349889057774e-39
"UTP4",8.92517513128514e-39
"PREP",8.9595836070506e-39
"TMEM234",8.9686965645723e-39
"EDC3",8.99275567747046e-39
"ZNF511",8.99275567747046e-39
"TSR1",9.05362142468678e-39
"KHSRP",9.08699078011727e-39
"IVD",9.14710841604265e-39
"NSFL1C",9.15156908732035e-39
"FAM193A",9.18390665698082e-39
"BMI1",1.59368475996717e-39
"Celera Transcript hCT1784870.2",9.24082661816437e-39
"AIFM1",9.39723808498912e-39
"C5orf15",9.39723808498912e-39
"PAPOLA",9.40063980277967e-39
"PELI1",9.40482392037672e-39
"ZBED1",9.42257128018556e-39
"Celera hCG1788032.2",9.43928239435479e-39
"NR2C1",9.4623955843991e-39
"HSPA9",9.46675184377494e-39
"147356",9.53698219106321e-39
"SPRY1",9.55428398498578e-39
"MYADM",9.60565190430791e-39
"Celera Transcript hCT2296797",9.60565190430791e-39
"SP6",9.62643116229517e-39
"Celera Transcript hCT1830047.2,Celera Transcript hCT2293513",9.66242698717862e-39
"NUSAP1",9.72920202440018e-39
"GTPBP3",9.7501872205054e-39
"LYPLA1",9.76924553949585e-39
"Celera Transcript hCT2345245",9.77773081430603e-39
"CYB5B",9.83619016632116e-39
"Celera Transcript hCT1815366.1",9.8672994299752e-39
"PPM1A",9.92341198957508e-39
"NSF",9.93081014348534e-39
"CENPM",9.96883395679182e-39
"FAM133B",9.97104150099635e-39
"TBCCD1",1.00119564421714e-38
"Celera Transcript hCT12771.2",1.00488839695603e-38
"MRPL16",1.01491811641323e-38
"Celera Transcript hCT2348631.1,Celera Transcript hCT2348630.1,Celera Transcript hCT2343018.2",1.01932757941166e-38
"PRSS36",1.02020319052184e-38
"DNAJB2",1.02429416878557e-38
"UBE2Z",1.02453483541752e-38
